================================================================================
GAP SIZE OPTIMIZATION - PHASE A: SMART EXCLUSION FILTERS
TIMEFRAME: M
================================================================================

Total Configurations Tested: 182
Strategy: Test exclusion filters (remove outliers), not tight windows
Goal: Filter 5-20% of trades max (preserve trade count!)

================================================================================
TOP 3 CONFIGURATIONS (by Expectancy)
================================================================================

RANK #1: 150-200 pips
--------------------------------------------------------------------------------
  Range:            150-200 pips
  Trades:            231 ( 85.6% filtered)
  Expectancy:       +0.077R
  Win Rate:          43.7%
  SQN:               0.96
  Profit Factor:     1.14
  Max DD:            -16.8R
  Cumulative R:     +17.8R
  Duration (days):  Avg  24.9 | Min   0.0 | Max    288
  Concurrent:       Avg  0.9 | Max   4

RANK #2: 150-350 pips
--------------------------------------------------------------------------------
  Range:            150-350 pips
  Trades:            600 ( 62.5% filtered)
  Expectancy:       +0.067R
  Win Rate:          43.3%
  SQN:               1.34
  Profit Factor:     1.12
  Max DD:            -36.4R
  Cumulative R:     +40.2R
  Duration (days):  Avg  35.1 | Min   0.0 | Max    455
  Concurrent:       Avg  2.9 | Max   9

RANK #3: 150-225 pips
--------------------------------------------------------------------------------
  Range:            150-225 pips
  Trades:            321 ( 79.9% filtered)
  Expectancy:       +0.059R
  Win Rate:          43.0%
  SQN:               0.86
  Profit Factor:     1.10
  Max DD:            -25.0R
  Cumulative R:     +18.8R
  Duration (days):  Avg  27.6 | Min   0.0 | Max    288
  Concurrent:       Avg  1.3 | Max   6

================================================================================
ALL CONFIGURATIONS (sorted by Expectancy)
================================================================================

Description               Range         Trades   Filt%   Exp(R)   WR(%)     SQN      PF
Max 275 pips              0-275           1248   22.0%  +0.007R   41.3%   0.20   1.01
25-275 pips               25-275          1248   22.0%  +0.007R   41.3%   0.20   1.01
50-700 pips               50-700          1481    7.4%  +0.006R   41.1%   0.21   1.01
Max 475 pips              0-475           1499    6.3%  +0.006R   41.3%   0.20   1.01
25-475 pips               25-475          1499    6.3%  +0.006R   41.3%   0.20   1.01
50-625 pips               50-625          1468    8.2%  +0.006R   41.1%   0.18   1.01
75-550 pips               75-550          1279   20.0%  +0.006R   41.0%   0.17   1.01
50-425 pips               50-425          1379   13.8%  +0.006R   41.0%   0.17   1.01
Max 450 pips              0-450           1486    7.1%  +0.006R   41.3%   0.18   1.01
25-450 pips               25-450          1486    7.1%  +0.006R   41.3%   0.18   1.01
75-375 pips               75-375          1159   27.5%  +0.005R   40.9%   0.13   1.01
Max 225 pips              0-225           1099   31.3%  +0.004R   41.3%   0.12   1.01
25-225 pips               25-225          1099   31.3%  +0.004R   41.3%   0.12   1.01
Max 200 pips              0-200           1009   36.9%  +0.004R   41.3%   0.10   1.01
25-200 pips               25-200          1009   36.9%  +0.004R   41.3%   0.10   1.01
50-400 pips               50-400          1347   15.8%  +0.004R   41.0%   0.12   1.01
100-300 pips              100-300          877   45.2%  +0.004R   40.8%   0.09   1.01
50-325 pips               50-325          1253   21.6%  +0.003R   40.9%   0.09   1.01
50-525 pips               50-525          1438   10.1%  +0.003R   41.0%   0.10   1.01
75-500 pips               75-500          1261   21.1%  +0.003R   40.8%   0.08   1.00
50-550 pips               50-550          1442    9.8%  +0.002R   40.9%   0.06   1.00
Max 250 pips              0-250           1164   27.2%  +0.001R   41.2%   0.03   1.00
25-250 pips               25-250          1164   27.2%  +0.001R   41.2%   0.03   1.00
50-375 pips               50-375          1322   17.3%  +0.001R   40.8%   0.03   1.00
75-475 pips               75-475          1249   21.9%  +0.000R   40.8%   0.01   1.00
75-450 pips               75-450          1236   22.7%  -0.000R   40.7%  -0.01   1.00
75-275 pips               75-275           998   37.6%  -0.000R   40.7%  -0.01   1.00
50-500 pips               50-500          1424   10.9%  -0.001R   40.8%  -0.02   1.00
Max 300 pips              0-300           1300   18.7%  -0.001R   41.0%  -0.04   1.00
25-300 pips               25-300          1300   18.7%  -0.001R   41.0%  -0.04   1.00
50-475 pips               50-475          1412   11.7%  -0.003R   40.7%  -0.08   1.00
50-450 pips               50-450          1399   12.5%  -0.003R   40.7%  -0.11   0.99
50-275 pips               50-275          1161   27.4%  -0.004R   40.7%  -0.12   0.99
75-225 pips               75-225           849   46.9%  -0.005R   40.5%  -0.11   0.99
75-200 pips               75-200           759   52.5%  -0.006R   40.4%  -0.15   0.99
50-225 pips               50-225          1012   36.7%  -0.008R   40.5%  -0.21   0.99
75-250 pips               75-250           914   42.8%  -0.008R   40.4%  -0.20   0.99
75-300 pips               75-300          1050   34.3%  -0.010R   40.3%  -0.26   0.98
50-200 pips               50-200           922   42.3%  -0.010R   40.5%  -0.25   0.98
50-250 pips               50-250          1077   32.6%  -0.011R   40.4%  -0.30   0.98
50-300 pips               50-300          1213   24.1%  -0.012R   40.3%  -0.35   0.98

================================================================================
ANALYSIS & INSIGHTS
================================================================================

Baseline (no filter): 1599 trades | Exp: +0.018R | WR: 41.8%
Best Config: 150-200 pips
  → Improvement: +321.7% Expectancy | +1.9% Win Rate
  → Trades Lost: 1368 (85.6%)

================================================================================
NEXT STEPS
================================================================================

Phase B will refine the Top 3 configurations with finer steps:
  Rank #1 (150-200 pips): Min 135-165 (5-pip), Max 200-250 (10-pip)
  Rank #2 (150-350 pips): Min 135-165 (5-pip), Max 300-400 (10-pip)
  Rank #3 (150-225 pips): Min 135-165 (5-pip), Max 200-275 (10-pip)

================================================================================
END OF REPORT
================================================================================
